feature,target,model_specification,N,coefficient,standardization_SD,odds_ratio,CI_lower,CI_upper,source_file
initiation_x,danger_15s,PRIMARY_INFERENTIAL_MODEL,21616,-0.9715,26.9945,0.3785,0.3591,0.3990,results/tables/logistic_coefficients.csv
initiation_x,danger_15s,FULL_COHORT_TACTICAL_SENSITIVITY,21616,-0.9841,26.9945,0.3738,0.3393,0.4118,results/tables/high_coverage_sensitivity_coefficients.csv
initiation_x,danger_15s,HIGH_LOCAL_VISIBILITY_SENSITIVITY,20548,-0.9649,27.2071,0.3810,0.3445,0.4214,results/tables/high_coverage_sensitivity_coefficients.csv
initiation_x,danger_15s,HIGH_CORRIDOR_VISIBILITY_SENSITIVITY,13411,-0.9039,29.5019,0.4050,0.3555,0.4614,results/tables/high_coverage_sensitivity_coefficients.csv
initiation_x,danger_15s,EARLY_UNADJUSTED_SPECIFICATION,21616,-0.6693,26.9945,0.5120,0.4910,0.5340,historical_pre_adjustment_audit_notes
nearest_teammate_distance,regain_5s,PRIMARY_INFERENTIAL_MODEL,21616,-0.2228,8.1836,0.8003,0.7294,0.8781,results/tables/logistic_coefficients.csv
nearest_teammate_distance,regain_5s,FULL_COHORT_TACTICAL_SENSITIVITY,21616,-0.1436,8.1836,0.8662,0.8025,0.9350,results/tables/high_coverage_sensitivity_coefficients.csv
nearest_teammate_distance,regain_5s,HIGH_LOCAL_VISIBILITY_SENSITIVITY,20548,-0.1241,4.1784,0.8833,0.8445,0.9240,results/tables/high_coverage_sensitivity_coefficients.csv
nearest_teammate_distance,regain_5s,HIGH_CORRIDOR_VISIBILITY_SENSITIVITY,13411,-0.1095,4.4791,0.8962,0.8431,0.9527,results/tables/high_coverage_sensitivity_coefficients.csv
distance_to_nearest_touchline,regain_5s,PRIMARY_INFERENTIAL_MODEL,21616,0.1055,10.7529,1.1113,1.0712,1.1529,results/tables/logistic_coefficients.csv
distance_to_nearest_touchline,regain_5s,FULL_COHORT_TACTICAL_SENSITIVITY,21616,0.1012,10.7529,1.1066,1.0472,1.1692,results/tables/high_coverage_sensitivity_coefficients.csv
distance_to_nearest_touchline,regain_5s,HIGH_LOCAL_VISIBILITY_SENSITIVITY,20548,0.1233,10.7635,1.1312,1.0678,1.1983,results/tables/high_coverage_sensitivity_coefficients.csv
distance_to_nearest_touchline,regain_5s,HIGH_CORRIDOR_VISIBILITY_SENSITIVITY,13411,0.0913,10.7807,1.0956,1.0155,1.1819,results/tables/high_coverage_sensitivity_coefficients.csv
distance_to_nearest_touchline,danger_15s,PRIMARY_INFERENTIAL_MODEL,21616,0.1981,10.7529,1.2190,1.1740,1.2658,results/tables/logistic_coefficients.csv
distance_to_nearest_touchline,danger_15s,FULL_COHORT_TACTICAL_SENSITIVITY,21616,0.2903,10.7529,1.3368,1.2589,1.4196,results/tables/high_coverage_sensitivity_coefficients.csv
distance_to_nearest_touchline,danger_15s,HIGH_LOCAL_VISIBILITY_SENSITIVITY,20548,0.2917,10.7635,1.3387,1.2581,1.4246,results/tables/high_coverage_sensitivity_coefficients.csv
distance_to_nearest_touchline,danger_15s,HIGH_CORRIDOR_VISIBILITY_SENSITIVITY,13411,0.2901,10.7807,1.3366,1.2375,1.4436,results/tables/high_coverage_sensitivity_coefficients.csv
numerical_advantage_10,regain_5s,PRIMARY_INFERENTIAL_MODEL,21616,0.0681,1.3615,1.0705,1.0141,1.1301,results/tables/logistic_coefficients.csv
numerical_advantage_10,regain_5s,FULL_COHORT_TACTICAL_SENSITIVITY,21616,0.1810,1.3615,1.1984,1.1424,1.2572,results/tables/high_coverage_sensitivity_coefficients.csv
numerical_advantage_10,regain_5s,HIGH_LOCAL_VISIBILITY_SENSITIVITY,20548,0.1682,1.3794,1.1832,1.1254,1.2440,results/tables/high_coverage_sensitivity_coefficients.csv
numerical_advantage_10,regain_5s,HIGH_CORRIDOR_VISIBILITY_SENSITIVITY,13411,0.1558,1.3900,1.1686,1.0955,1.2466,results/tables/high_coverage_sensitivity_coefficients.csv
numerical_advantage_15,regain_5s,PRIMARY_INFERENTIAL_MODEL,21616,0.1348,1.7244,1.1443,1.0852,1.2067,results/tables/logistic_coefficients.csv
numerical_advantage_5,regain_5s,PRIMARY_INFERENTIAL_MODEL,21616,0.0215,0.8007,1.0217,0.9786,1.0667,results/tables/logistic_coefficients.csv
forward_numerical_advantage,danger_15s,PRIMARY_INFERENTIAL_MODEL,21616,0.0617,1.7262,1.0637,1.0147,1.1150,results/tables/logistic_coefficients.csv
forward_numerical_advantage,regain_5s,PRIMARY_INFERENTIAL_MODEL,21616,-0.0734,1.7262,0.9292,0.8865,0.9740,results/tables/logistic_coefficients.csv
