feature,target,fold_1_coef,fold_2_coef,fold_3_coef,fold_4_coef,fold_5_coef,mean_coef,std_coef,min_coef,max_coef,same_sign_folds
initiation_x,regain_5s,0.0368,0.0093,0.014,0.0143,0.0152,0.0179,0.0097,0.0093,0.0368,True
distance_to_nearest_touchline,regain_5s,0.1043,0.1016,0.102,0.1158,0.1036,0.1055,0.0053,0.1016,0.1158,True
numerical_advantage_5,regain_5s,0.0306,0.0263,0.0337,0.0245,-0.0063,0.0218,0.0144,-0.0063,0.0337,False
numerical_advantage_10,regain_5s,0.0425,0.0779,0.069,0.0668,0.0846,0.0682,0.0143,0.0425,0.0846,True
numerical_advantage_15,regain_5s,0.1546,0.1252,0.1175,0.1352,0.1426,0.135,0.013,0.1175,0.1546,True
nearest_teammate_distance,regain_5s,-0.2028,-0.2349,-0.2536,-0.2208,-0.2017,-0.2228,0.0197,-0.2536,-0.2017,True
nearest_opponent_distance,regain_5s,0.128,0.1559,0.1851,0.181,0.1845,0.1669,0.0222,0.128,0.1851,True
teammate_mean_pairwise_distance,regain_5s,-0.0228,-0.0309,-0.0347,-0.0305,-0.0171,-0.0272,0.0064,-0.0347,-0.0171,True
opponent_mean_pairwise_distance,regain_5s,0.1245,0.1288,0.1507,0.113,0.1087,0.1251,0.0147,0.1087,0.1507,True
forward_numerical_advantage,regain_5s,-0.0687,-0.0818,-0.0626,-0.0625,-0.0913,-0.0734,0.0114,-0.0913,-0.0625,True
nearest_defender_ahead_distance,regain_5s,0.017,0.0195,0.0017,0.0289,0.0122,0.0159,0.0089,0.0017,0.0289,True
nearest_opponent_ahead_distance,regain_5s,0.0168,0.0022,0.019,-0.0174,0.0006,0.0042,0.0131,-0.0174,0.019,False
escape_corridor_advantage_20,regain_5s,-0.0136,-0.0141,-0.0151,-0.004,0.0051,-0.0083,0.0078,-0.0151,0.0051,False
initiation_x,danger_15s,-0.9808,-0.9723,-0.9372,-0.9752,-0.9922,-0.9715,0.0185,-0.9922,-0.9372,True
distance_to_nearest_touchline,danger_15s,0.1916,0.1997,0.1981,0.192,0.2093,0.1981,0.0064,0.1916,0.2093,True
numerical_advantage_5,danger_15s,0.0117,0.0167,0.0061,0.0256,0.0165,0.0153,0.0064,0.0061,0.0256,True
numerical_advantage_10,danger_15s,-0.0267,-0.0564,-0.0261,-0.0338,-0.0453,-0.0377,0.0116,-0.0564,-0.0261,True
numerical_advantage_15,danger_15s,0.0606,0.0631,0.0852,0.0568,0.0551,0.0642,0.0109,0.0551,0.0852,True
nearest_teammate_distance,danger_15s,0.0068,0.0094,0.0707,0.0152,-0.0029,0.0198,0.0261,-0.0029,0.0707,False
nearest_opponent_distance,danger_15s,0.1011,0.0806,0.0371,0.0881,0.0874,0.0789,0.0219,0.0371,0.1011,True
teammate_mean_pairwise_distance,danger_15s,0.0613,0.0833,0.0953,0.0851,0.0898,0.083,0.0116,0.0613,0.0953,True
opponent_mean_pairwise_distance,danger_15s,-0.0055,-0.0359,-0.0285,-0.0022,-0.0091,-0.0162,0.0134,-0.0359,-0.0022,True
forward_numerical_advantage,danger_15s,0.0461,0.0678,0.0712,0.0534,0.07,0.0617,0.0101,0.0461,0.0712,True
nearest_defender_ahead_distance,danger_15s,0.0159,-0.0135,-0.02,0.0073,0.0141,0.0008,0.0147,-0.02,0.0159,False
nearest_opponent_ahead_distance,danger_15s,-0.1469,-0.0712,-0.1133,-0.1057,-0.1094,-0.1093,0.0241,-0.1469,-0.0712,True
escape_corridor_advantage_20,danger_15s,0.0329,0.0116,0.0292,0.0472,0.0286,0.0299,0.0114,0.0116,0.0472,True
