episode_id,match_id,competition_name,season_name,period,possession_id,counterpressing_team,counterpressing_team_id,possession_team,possession_team_id,possession_origin_pattern,play_pattern,turnover_context,is_open_play,turnover_event_id,turnover_event_type,turnover_timestamp,turnover_seconds,turnover_location,turnover_link_quality,initiation_event_id,initiation_event_type,initiation_timestamp,initiation_seconds,initiation_location,initiation_player_id,initiation_player_name,delay_seconds,latency_valid,num_counterpress_actions,all_counterpress_event_ids,has_initiation_360,opponent_team_at_turnover,possession_team_at_counterpress_initiation,possession_id_at_counterpress_initiation,regain_5s_controlled,regain_3s_controlled,regain_8s_controlled,controlled_acquisition_time,controlled_control_time,controlled_regain_time,controlled_regain_event_id,controlled_regain_event_type,controlled_regain_evidence,regain_5s,regain_3s,regain_8s,seconds_to_regain,regain_event_id,regain_5s_controlled_v26,regain_5s_possession_annotation,regain_3s_possession_annotation,regain_8s_possession_annotation,seconds_to_regain_annotation,regain_event_id_annotation,dangerous_escape_15s,shot_15s,final_third_entry_15s,started_in_final_third,opponent_initial_x,opponent_max_progression_15s,time_to_shot,time_to_final_third_entry,episode_outcome_3class,episode_outcome_3class_old,is_primary_cohort,primary_cohort_eligible
3895320_p5_2eabf2d4,3895320,1. Bundesliga,2023/2024,1,5,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,46998275-20e8-4850-97e8-1771676f7358,Pass,00:01:19.085,79.08500000000001,"[19.7, 14.5]",high,2eabf2d4-19bc-4ccb-b41d-81c3dee0c946,Pressure,00:01:22.218,82.218,"[95.0, 69.8]",28805,Jamie Leweling,3.133,True,2,"['2eabf2d4-19bc-4ccb-b41d-81c3dee0c946', 'dce5dafe-c3e4-41b2-b6e9-40c83ac216e3']",True,Bayer Leverkusen,Bayer Leverkusen,5,1,1,1,0.141,1.901,1.901,513ec53f-df10-409a-8615-1ea794f414eb,Pass,opponent_turnover_plus_pass,1,1,1,1.901,513ec53f-df10-409a-8615-1ea794f414eb,1,1,1,1,1.901,513ec53f-df10-409a-8615-1ea794f414eb,0,0,0,False,19.7,26.8,,,successful_regain,successful_regain,True,True
3895320_p7_d53cedea,3895320,1. Bundesliga,2023/2024,1,7,Bayer Leverkusen,904,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,c69d0110-8657-4908-95cd-62e2fe900612,Block,00:02:04.196,124.196,"[74.5, 73.7]",high,d53cedea-4c6d-44f6-9469-b26b131eab34,Pressure,00:02:07.404,127.404,"[52.9, 22.4]",9195,Robert Andrich,3.208,True,4,"['d53cedea-4c6d-44f6-9469-b26b131eab34', 'fe7d56e9-4fa2-4210-aa1a-76ca47fd9839', 'e7cce88e-8aed-48eb-a002-6ecd6836d256', '79ed6a8a-2e0d-414e-a76b-bdd5c2d037ca']",True,VfB Stuttgart,Bayer Leverkusen,7,1,1,1,1.19,1.19,1.19,82b690ba-02e8-4b9b-9a8a-16d4201c77a9,Carry,ball_recovery_plus_carry,1,1,1,1.19,82b690ba-02e8-4b9b-9a8a-16d4201c77a9,1,1,1,1,0.058,faa8d2e7-ec76-4bb8-b6ec-0a8c8e5b405c,0,0,0,True,110.6,110.6,,,successful_regain,successful_regain,True,True
3895320_p8_d23b1c38,3895320,1. Bundesliga,2023/2024,1,8,VfB Stuttgart,174,VfB Stuttgart,174,From Throw In,From Throw In,immediate_restart_phase,False,fbd5bcc0-8cd9-4a3a-ad19-df9f2f12e0e7,Pass,00:02:45.929,165.929,"[91.5, 73.3]",high,d23b1c38-de26-4640-960c-a50a531a15af,Interception,00:02:47.583,167.583,"[21.5, 6.3]",12407,Maximilian Mittelstädt,1.654,True,1,['d23b1c38-de26-4640-960c-a50a531a15af'],True,Bayer Leverkusen,VfB Stuttgart,8,1,1,1,0.598,0.598,0.598,c02d0564-39f9-46b1-9206-3baa29b65d4d,Carry,ball_recovery_plus_carry,1,1,1,0.598,c02d0564-39f9-46b1-9206-3baa29b65d4d,1,1,1,1,0.598,c376b907-8970-4241-ba29-6f46c95ae700,0,0,0,True,91.5,91.5,,,successful_regain,successful_regain,True,False
3895320_p9_c91e423b,3895320,1. Bundesliga,2023/2024,1,9,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,f6ed6e52-0f0e-4af2-814e-3e8f28fd9a21,Pass,00:02:53.984,173.984,"[63.8, 54.9]",high,c91e423b-1f24-44af-9411-3f5ae59a8379,Pressure,00:02:58.486,178.486,"[55.8, 27.3]",20947,Atakan Karazor,4.502,True,1,['c91e423b-1f24-44af-9411-3f5ae59a8379'],True,Bayer Leverkusen,Bayer Leverkusen,9,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,63.8,63.8,,,harmless_escape,harmless_escape,True,True
3895320_p13_a9a9cd36,3895320,1. Bundesliga,2023/2024,1,13,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,8e772314-c408-4115-99c6-eccc8887ee02,Interception,00:04:40.993,280.993,"[14.6, 37.3]",high,a9a9cd36-ab00-46c1-87a4-72307d2adf1e,Pressure,00:04:43.448,283.448,"[105.5, 30.4]",23614,Chris Führich,2.455,True,2,"['a9a9cd36-ab00-46c1-87a4-72307d2adf1e', '962b210b-dd2a-4068-a4c2-a351aeeac9ec']",True,Bayer Leverkusen,Bayer Leverkusen,13,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,14.9,35.4,,,harmless_escape,harmless_escape,True,True
3895320_p14_37fdca5d,3895320,1. Bundesliga,2023/2024,1,14,VfB Stuttgart,174,VfB Stuttgart,174,From Goal Kick,From Goal Kick,open_play,True,9864ef85-8180-4af0-bcc3-a4d2a7a601f1,Pass,00:05:59.859,359.859,"[78.3, 26.3]",high,37fdca5d-df84-40f9-b4eb-5f26f04b179e,Pressure,00:06:01.875,361.875,"[34.7, 59.3]",20947,Atakan Karazor,2.016,True,1,['37fdca5d-df84-40f9-b4eb-5f26f04b179e'],True,Bayer Leverkusen,VfB Stuttgart,14,0,0,0,,,,,,,0,0,0,,,0,1,1,1,0.458,d3c0d4b9-8a58-4351-adff-18162640cbe8,0,0,0,True,90.1,99.1,,,harmless_escape,successful_regain,True,True
3895320_p16_453f87d0,3895320,1. Bundesliga,2023/2024,1,16,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,5e78a81f-be76-4ea6-90a7-206f8aee86f6,Pass,00:06:34.275,394.275,"[60.1, 33.3]",high,453f87d0-6c5b-4988-9466-6eb377b622ab,Pressure,00:06:36.063,396.063,"[34.0, 49.4]",45115,Enzo Millot,1.788,True,3,"['453f87d0-6c5b-4988-9466-6eb377b622ab', '848cd929-d40a-4c1b-a02a-b1d05001a995', 'a257eb85-795e-4958-9b76-6ea742272ec2']",True,Bayer Leverkusen,Bayer Leverkusen,16,0,0,1,4.083,5.784,5.784,dbd8a73f-bfc2-4d8d-bac0-238358fde06a,Pass,duel_plus_pass,0,0,1,5.784,dbd8a73f-bfc2-4d8d-bac0-238358fde06a,1,1,0,1,4.083,362c7064-c5e4-47d0-b1d9-054f1c4715b5,1,0,1,False,60.1,84.6,,0.143,dangerous_escape,dangerous_escape,True,True
3895320_p17_362c7064,3895320,1. Bundesliga,2023/2024,1,17,VfB Stuttgart,174,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,88c52b10-886f-485f-828b-8c2b89b959e3,Dispossessed,00:06:40.146,400.146,"[77.1, 56.1]",high,362c7064-c5e4-47d0-b1d9-054f1c4715b5,Duel,00:06:40.146,400.146,"[43.0, 24.0]",12407,Maximilian Mittelstädt,0.0,True,1,['362c7064-c5e4-47d0-b1d9-054f1c4715b5'],True,Bayer Leverkusen,VfB Stuttgart,17,1,1,1,0.0,1.701,1.701,dbd8a73f-bfc2-4d8d-bac0-238358fde06a,Pass,duel_plus_pass,1,1,1,1.701,dbd8a73f-bfc2-4d8d-bac0-238358fde06a,1,1,1,1,1.701,dbd8a73f-bfc2-4d8d-bac0-238358fde06a,0,0,0,False,,0.0,,,successful_regain,successful_regain,True,True
3895320_p20_9d09767b,3895320,1. Bundesliga,2023/2024,1,20,VfB Stuttgart,174,VfB Stuttgart,174,From Throw In,From Throw In,open_play,True,056133a9-f975-41f8-85e4-25321dbe548c,Ball Recovery,00:07:59.710,479.71,"[56.1, 39.7]",high,9d09767b-7267-4398-b57e-99cccd0652b7,Pressure,00:08:00.222,480.222,"[57.0, 40.2]",28805,Jamie Leweling,0.512,True,1,['9d09767b-7267-4398-b57e-99cccd0652b7'],True,Bayer Leverkusen,VfB Stuttgart,20,0,0,0,12.748,14.704,14.704,6c7f46dc-68a8-416f-ad86-329b4b387144,Pass,opponent_turnover_plus_pass,0,0,0,14.704,6c7f46dc-68a8-416f-ad86-329b4b387144,0,1,1,1,0.81,4b07186f-3e54-4812-9dad-14096cf5b080,0,0,0,False,56.1,57.2,,,harmless_escape,successful_regain,True,True
3895320_p23_69c5ff74,3895320,1. Bundesliga,2023/2024,1,23,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,2bce50f5-7e33-48db-9067-952425129a85,Ball Recovery,00:10:29.010,629.01,"[42.6, 68.4]",high,69c5ff74-0e08-474d-a372-c76c8ae0a72b,Pressure,00:10:30.440,630.44,"[73.7, 11.0]",12407,Maximilian Mittelstädt,1.43,True,1,['69c5ff74-0e08-474d-a372-c76c8ae0a72b'],True,Bayer Leverkusen,Bayer Leverkusen,23,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,42.6,47.0,,,harmless_escape,harmless_escape,True,True
