episode_id,match_id,danger_v26,danger_v27,regain_v26,regain_v27,danger_trigger,danger_trigger_time,old_regain_time,new_regain_time,change_reason
3895333_p16_70655160,3895333,0,1,1,0,final_third_entry,12.322,1.1469999999999914,,evaluated_pressing_team_as_opponent
3895333_p69_53c0d167,3895333,0,1,1,0,final_third_entry,14.671,1.038000000000011,,evaluated_pressing_team_as_opponent
3895333_p77_f2d06c10,3895333,0,1,1,0,shot,4.613,0.0,,evaluated_pressing_team_as_opponent
3895333_p81_08690ef0,3895333,0,1,1,0,final_third_entry,5.189,0.0,,evaluated_pressing_team_as_opponent
3895333_p94_2e2b8b85,3895333,0,1,1,0,final_third_entry,2.897,0.0,,evaluated_pressing_team_as_opponent
3895333_p111_520cb621,3895333,0,1,1,0,final_third_entry,9.047,0.0,,evaluated_pressing_team_as_opponent
3895333_p112_fae5a748,3895333,0,1,1,0,final_third_entry,10.248,0.9320000000000164,,evaluated_pressing_team_as_opponent
3895333_p132_9a0d3eeb,3895333,0,1,1,0,final_third_entry,2.384,0.4819999999999709,,evaluated_pressing_team_as_opponent
3895333_p142_62b46e1a,3895333,0,1,1,0,final_third_entry,5.36,0.0,,evaluated_pressing_team_as_opponent
3895292_p65_ddd833b1,3895292,0,1,1,0,final_third_entry,7.342,0.5279999999997926,,evaluated_pressing_team_as_opponent
3895292_p76_e7d3c96c,3895292,0,1,1,0,final_third_entry,7.345,1.0740000000000691,,evaluated_pressing_team_as_opponent
3895292_p102_f2eb0182,3895292,0,1,1,0,final_third_entry,13.99,1.9850000000000136,,evaluated_pressing_team_as_opponent
3895292_p156_7f2d4588,3895292,0,1,1,0,final_third_entry,12.509,0.0,,evaluated_pressing_team_as_opponent
3895292_p160_3ca29d74,3895292,0,1,1,0,final_third_entry,14.375,0.0,,evaluated_pressing_team_as_opponent
3895220_p13_56d3a12f,3895220,0,1,1,0,final_third_entry,1.845,0.0,,evaluated_pressing_team_as_opponent
3895220_p32_5cdf82e7,3895220,0,1,1,0,final_third_entry,6.928,3.155999999999949,,evaluated_pressing_team_as_opponent
3895220_p41_c0753ce9,3895220,0,1,1,0,final_third_entry,1.513,1.0190000000000055,,evaluated_pressing_team_as_opponent
3895220_p58_3a0e13a9,3895220,0,1,1,0,final_third_entry,6.051,0.0,,evaluated_pressing_team_as_opponent
