episode_id,match_id,competition_name,delay_seconds,delay_bin,initiation_event_type,turnover_event_type,counterpressing_team,possession_team,primary_cause,cause_description,intervening_events_count,turnover_link_quality,latency_valid
3895340_p3_eefaa391,3895340,1. Bundesliga,6.172,6.0-8.0 sec,Pass,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,7,invalid,False
3895340_p45_839908f8,3895340,1. Bundesliga,6.96,6.0-8.0 sec,Interception,Pass,Bochum,Bochum,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895340_p94_a0027fc7,3895340,1. Bundesliga,5.237,5.0-6.0 sec,Pressure,Block,Bayer Leverkusen,Bochum,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,9,ambiguous,False
3895340_p123_1c2fbd0c,3895340,1. Bundesliga,6.835,6.0-8.0 sec,Interception,Ball Receipt*,Bochum,Bochum,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895340_p153_94ebca87,3895340,1. Bundesliga,7.876,6.0-8.0 sec,Interception,Ball Receipt*,Bochum,Bochum,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895348_p22_f0274d17,3895348,1. Bundesliga,6.693,6.0-8.0 sec,Interception,Duel,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,9,invalid,False
3895348_p33_b1bc0c1e,3895348,1. Bundesliga,7.097,6.0-8.0 sec,Pass,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895348_p36_d0369eda,3895348,1. Bundesliga,5.061,5.0-6.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,9,ambiguous,False
3895348_p45_864d04ef,3895348,1. Bundesliga,6.378,6.0-8.0 sec,Pressure,Block,Augsburg,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,6,invalid,False
3895348_p47_80fe14ff,3895348,1. Bundesliga,6.195,6.0-8.0 sec,Pass,Pass,Augsburg,Augsburg,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,8,invalid,False
3895348_p54_5a9f32d9,3895348,1. Bundesliga,7.28,6.0-8.0 sec,Interception,Ball Receipt*,Augsburg,Augsburg,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895286_p14_7eb7a15a,3895286,1. Bundesliga,6.141,6.0-8.0 sec,Block,Block,Hoffenheim,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,11,invalid,False
3895286_p87_e7104794,3895286,1. Bundesliga,6.928,6.0-8.0 sec,Interception,Pass,Hoffenheim,Hoffenheim,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895286_p103_024184b0,3895286,1. Bundesliga,5.109,5.0-6.0 sec,Pressure,Block,Bayer Leverkusen,Hoffenheim,A,Turnover detector linked to earlier action in chain or pass flight boundary,3,ambiguous,False
3895320_p117_d5e07119,3895320,1. Bundesliga,5.022,5.0-6.0 sec,Pressure,Goal Keeper,Bayer Leverkusen,Bayer Leverkusen,A,Turnover detector linked to earlier action in chain or pass flight boundary,4,ambiguous,False
3895266_p18_d14f72f5,3895266,1. Bundesliga,7.293,6.0-8.0 sec,Interception,Pass,Wolfsburg,Wolfsburg,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
3895266_p20_5dbb033e,3895266,1. Bundesliga,7.501,6.0-8.0 sec,Interception,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895266_p26_ffd93003,3895266,1. Bundesliga,7.596,6.0-8.0 sec,Interception,Ball Receipt*,Wolfsburg,Wolfsburg,D,Ambiguous timestamp/simultaneous event sequence,14,invalid,False
3895266_p40_001e5546,3895266,1. Bundesliga,5.788,5.0-6.0 sec,Interception,Pass,Wolfsburg,Wolfsburg,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895266_p51_2e3e7fe5,3895266,1. Bundesliga,5.396,5.0-6.0 sec,Pressure,Clearance,Wolfsburg,Wolfsburg,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,ambiguous,False
3895266_p79_987fc8cb,3895266,1. Bundesliga,6.01,6.0-8.0 sec,Interception,Pass,Wolfsburg,Wolfsburg,D,Ambiguous timestamp/simultaneous event sequence,15,invalid,False
3895266_p120_47dd76b6,3895266,1. Bundesliga,7.304,6.0-8.0 sec,Pressure,Goal Keeper,Bayer Leverkusen,Wolfsburg,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,invalid,False
3895333_p26_e0b3075c,3895333,1. Bundesliga,6.751,6.0-8.0 sec,Pass,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
3895333_p49_8064a1db,3895333,1. Bundesliga,5.132,5.0-6.0 sec,Interception,Pass,Eintracht Frankfurt,Eintracht Frankfurt,D,Ambiguous timestamp/simultaneous event sequence,7,invalid,False
3895333_p103_6ee1cd6c,3895333,1. Bundesliga,5.148,5.0-6.0 sec,Pressure,Duel,Eintracht Frankfurt,Eintracht Frankfurt,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,6,ambiguous,False
3895121_p10_ae390965,3895121,1. Bundesliga,5.446,5.0-6.0 sec,Pressure,Ball Recovery,Bayer Leverkusen,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,6,ambiguous,False
3895121_p83_c46bc7f6,3895121,1. Bundesliga,5.196,5.0-6.0 sec,Pressure,Pass,Bayer Leverkusen,Bayer Leverkusen,B,StatsBomb possession indexing retained pressing team despite brief contestation,3,invalid,False
3895121_p94_926ba5dc,3895121,1. Bundesliga,7.598,6.0-8.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
3895121_p128_a24bae03,3895121,1. Bundesliga,5.74,5.0-6.0 sec,Duel,50/50,Bayer Leverkusen,Freiburg,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,6,ambiguous,False
3895302_p62_142c2982,3895302,1. Bundesliga,6.6,6.0-8.0 sec,Pressure,Block,Bayer Leverkusen,Werder Bremen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,8,invalid,False
3895302_p84_88e5a51f,3895302,1. Bundesliga,7.328,6.0-8.0 sec,Interception,Pass,Werder Bremen,Werder Bremen,D,Ambiguous timestamp/simultaneous event sequence,10,invalid,False
3895302_p112_dd24a9d2,3895302,1. Bundesliga,7.692,6.0-8.0 sec,Pass,Ball Receipt*,Werder Bremen,Werder Bremen,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
3895302_p125_16447969,3895302,1. Bundesliga,7.16,6.0-8.0 sec,Duel,Ball Receipt*,Werder Bremen,Werder Bremen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,12,invalid,False
3895302_p139_724b3479,3895302,1. Bundesliga,6.705,6.0-8.0 sec,Interception,Ball Receipt*,Werder Bremen,Werder Bremen,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895302_p143_f908d853,3895302,1. Bundesliga,5.983,5.0-6.0 sec,Pressure,Block,Werder Bremen,Bayer Leverkusen,A,Turnover detector linked to earlier action in chain or pass flight boundary,4,ambiguous,False
3895180_p3_8aeef19c,3895180,1. Bundesliga,6.664,6.0-8.0 sec,Pass,Ball Receipt*,Eintracht Frankfurt,Eintracht Frankfurt,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895180_p19_cbd960db,3895180,1. Bundesliga,5.103,5.0-6.0 sec,Interception,Pass,Eintracht Frankfurt,Eintracht Frankfurt,D,Ambiguous timestamp/simultaneous event sequence,6,ambiguous,False
3895180_p32_2f903a53,3895180,1. Bundesliga,6.936,6.0-8.0 sec,Pass,Ball Recovery,Eintracht Frankfurt,Eintracht Frankfurt,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895180_p49_53e4b092,3895180,1. Bundesliga,7.266,6.0-8.0 sec,Pass,Pass,Eintracht Frankfurt,Eintracht Frankfurt,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895180_p101_ca1a3852,3895180,1. Bundesliga,7.041,6.0-8.0 sec,Pass,Pass,Eintracht Frankfurt,Eintracht Frankfurt,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895180_p154_bc9986aa,3895180,1. Bundesliga,7.228,6.0-8.0 sec,Duel,Interception,Eintracht Frankfurt,Eintracht Frankfurt,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,10,invalid,False
3895180_p168_ac86f857,3895180,1. Bundesliga,7.131,6.0-8.0 sec,Duel,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,10,invalid,False
3895180_p179_653a3e39,3895180,1. Bundesliga,7.942,6.0-8.0 sec,Pressure,Block,Eintracht Frankfurt,Eintracht Frankfurt,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,invalid,False
3895275_p57_340033b2,3895275,1. Bundesliga,7.402,6.0-8.0 sec,Interception,Pass,Freiburg,Freiburg,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895275_p87_43d67925,3895275,1. Bundesliga,7.337,6.0-8.0 sec,Interception,Ball Receipt*,Freiburg,Freiburg,D,Ambiguous timestamp/simultaneous event sequence,13,invalid,False
3895275_p105_70be2c70,3895275,1. Bundesliga,7.214,6.0-8.0 sec,Pressure,Clearance,Bayer Leverkusen,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,7,invalid,False
3895134_p9_10ac3bc0,3895134,1. Bundesliga,6.218,6.0-8.0 sec,Pressure,Clearance,Hoffenheim,Hoffenheim,A,Turnover detector linked to earlier action in chain or pass flight boundary,4,invalid,False
