episode_id,match_id,competition_name,period,counterpressing_team,possession_team,initiation_seconds,delay_seconds,stratum,controlled_acquisition_time,controlled_control_time,controlled_regain_time,controlled_regain_event_type,controlled_regain_evidence,regain_5s_controlled,dangerous_escape_15s,episode_outcome_3class,human_verified,human_evidence_valid,human_notes
3857295_p55_fcbf806d,3857295,FIFA World Cup,1,Costa Rica,Costa Rica,1754.581,1.173,ball_recovery,3.061,3.061,3.061,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3998849_p156_3ed428e9,3998849,UEFA Women's Euro,2,Germany Women's,Germany Women's,2982.663,0.775,ball_recovery,3.378,3.378,3.378,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3857282_p31_9f4c0bd8,3857282,FIFA World Cup,1,United States,Wales,1092.113,2.423,ball_recovery,2.003,2.003,2.003,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3893814_p107_ade58806,3893814,Women's World Cup,2,Italy Women's,Sweden Women's,620.324,4.806,ball_recovery,2.623,2.623,2.623,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3835323_p101_cec4bae1,3835323,UEFA Women's Euro,2,Portugal Women's,Portugal Women's,194.385,0.089,ball_recovery,4.387,4.387,4.387,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3895074_p10_52efe327,3895074,1. Bundesliga,1,Bayern Munich,Bayern Munich,188.778,0.106,ball_recovery,1.291,1.291,1.291,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3788752_p201_3a7755c6,3788752,UEFA Euro,2,Hungary,Hungary,2730.482,0.395,ball_recovery,1.642,1.642,1.642,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3895194_p55_9783cceb,3895194,1. Bundesliga,1,Bayer Leverkusen,Bayer Leverkusen,1640.969,6.537,ball_recovery,1.723,1.723,1.723,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3895167_p36_da4d28bb,3895167,1. Bundesliga,1,Bayer Leverkusen,Bayer Leverkusen,1140.712,4.742,ball_recovery,3.29,3.29,3.29,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3857300_p53_81f557ef,3857300,FIFA World Cup,1,Argentina,Argentina,2044.217,7.922,ball_recovery,1.022,1.022,1.022,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
3998852_p67_a575aa1c,3998852,UEFA Women's Euro,1,WNT Finland,WNT Finland,1797.963,0.804,ball_recovery,2.328,2.328,2.328,Carry,ball_recovery_plus_carry,1,0,successful_regain,[ ],[ ],
