target,subset,n_episodes,feature,coef,std_err,odds_ratio,ci_lower_95,ci_upper_95,p_val
regain_5s,Full Cohort,21616,initiation_x,-0.0073,0.0484,0.9927,0.9029,1.0916,0.8804
regain_5s,Full Cohort,21616,distance_to_nearest_touchline,0.1012,0.0281,1.1066,1.0472,1.1692,0.0003
regain_5s,Full Cohort,21616,nearest_teammate_distance,-0.1436,0.039,0.8662,0.8025,0.935,0.0002
regain_5s,Full Cohort,21616,nearest_opponent_distance,-0.2947,0.0448,0.7448,0.6822,0.8131,0.0
regain_5s,Full Cohort,21616,numerical_advantage_5,0.0473,0.0213,1.0484,1.0056,1.093,0.0264
regain_5s,Full Cohort,21616,numerical_advantage_10,0.181,0.0244,1.1984,1.1424,1.2572,0.0
regain_5s,Local Coverage >= 80%,20548,initiation_x,0.0089,0.051,1.009,0.9131,1.115,0.8606
regain_5s,Local Coverage >= 80%,20548,distance_to_nearest_touchline,0.1233,0.0294,1.1312,1.0678,1.1983,0.0
regain_5s,Local Coverage >= 80%,20548,nearest_teammate_distance,-0.1241,0.023,0.8833,0.8445,0.924,0.0
regain_5s,Local Coverage >= 80%,20548,nearest_opponent_distance,-0.1024,0.0234,0.9027,0.8623,0.945,0.0
regain_5s,Local Coverage >= 80%,20548,numerical_advantage_5,0.0767,0.0223,1.0797,1.0336,1.128,0.0006
regain_5s,Local Coverage >= 80%,20548,numerical_advantage_10,0.1682,0.0256,1.1832,1.1254,1.244,0.0
regain_5s,Corridor Coverage >= 80%,13411,initiation_x,-0.1131,0.0699,0.893,0.7787,1.0242,0.1056
regain_5s,Corridor Coverage >= 80%,13411,distance_to_nearest_touchline,0.0913,0.0387,1.0956,1.0155,1.1819,0.0184
regain_5s,Corridor Coverage >= 80%,13411,nearest_teammate_distance,-0.1095,0.0312,0.8962,0.8431,0.9527,0.0004
regain_5s,Corridor Coverage >= 80%,13411,nearest_opponent_distance,-0.2062,0.0301,0.8137,0.7671,0.8631,0.0
regain_5s,Corridor Coverage >= 80%,13411,numerical_advantage_5,0.0629,0.0291,1.0649,1.0059,1.1274,0.0307
regain_5s,Corridor Coverage >= 80%,13411,numerical_advantage_10,0.1558,0.033,1.1686,1.0955,1.2466,0.0
danger_15s,Full Cohort,21616,initiation_x,-0.9841,0.0494,0.3738,0.3393,0.4118,0.0
danger_15s,Full Cohort,21616,distance_to_nearest_touchline,0.2903,0.0306,1.3368,1.2589,1.4196,0.0
danger_15s,Full Cohort,21616,nearest_teammate_distance,0.0041,0.0402,1.0042,0.9281,1.0864,0.9179
danger_15s,Full Cohort,21616,nearest_opponent_distance,0.2878,0.0448,1.3335,1.2214,1.456,0.0
danger_15s,Full Cohort,21616,numerical_advantage_5,0.0091,0.0228,1.0091,0.965,1.0551,0.6909
danger_15s,Full Cohort,21616,numerical_advantage_10,-0.052,0.0218,0.9493,0.9096,0.9907,0.017
danger_15s,Local Coverage >= 80%,20548,initiation_x,-0.9649,0.0513,0.381,0.3445,0.4214,0.0
danger_15s,Local Coverage >= 80%,20548,distance_to_nearest_touchline,0.2917,0.0317,1.3387,1.2581,1.4246,0.0
danger_15s,Local Coverage >= 80%,20548,nearest_teammate_distance,0.0347,0.0227,1.0353,0.9902,1.0824,0.1271
danger_15s,Local Coverage >= 80%,20548,nearest_opponent_distance,0.0904,0.0238,1.0946,1.0447,1.1469,0.0001
danger_15s,Local Coverage >= 80%,20548,numerical_advantage_5,-0.0112,0.024,0.9889,0.9435,1.0365,0.6411
danger_15s,Local Coverage >= 80%,20548,numerical_advantage_10,-0.0329,0.0226,0.9676,0.9258,1.0114,0.1452
danger_15s,Corridor Coverage >= 80%,13411,initiation_x,-0.9039,0.0665,0.405,0.3555,0.4614,0.0
danger_15s,Corridor Coverage >= 80%,13411,distance_to_nearest_touchline,0.2901,0.0393,1.3366,1.2375,1.4436,0.0
danger_15s,Corridor Coverage >= 80%,13411,nearest_teammate_distance,0.0174,0.0302,1.0175,0.959,1.0795,0.5655
danger_15s,Corridor Coverage >= 80%,13411,nearest_opponent_distance,0.1085,0.0331,1.1146,1.0445,1.1894,0.0011
danger_15s,Corridor Coverage >= 80%,13411,numerical_advantage_5,0.0306,0.0299,1.0311,0.9724,1.0933,0.3061
danger_15s,Corridor Coverage >= 80%,13411,numerical_advantage_10,0.0113,0.0301,1.0114,0.9534,1.0728,0.707
