target,held_out_competition,n_train,n_test,prevalence,roc_auc,pr_auc,brier_score,log_loss
regain_5s,La Liga,19755,1861,0.3514,0.814,0.7787,0.1395,0.4425
danger_15s,La Liga,19755,1861,0.2294,0.779,0.5083,0.1443,0.4491
regain_5s,UEFA Euro,16852,4764,0.3426,0.8277,0.7916,0.1312,0.4215
danger_15s,UEFA Euro,16852,4764,0.221,0.7919,0.5143,0.1383,0.4308
regain_5s,Ligue 1,18692,2924,0.3796,0.8466,0.8307,0.1284,0.4133
danger_15s,Ligue 1,18692,2924,0.2209,0.7831,0.4879,0.1413,0.4362
regain_5s,UEFA Women's Euro,18083,3533,0.3377,0.8039,0.756,0.1413,0.4482
danger_15s,UEFA Women's Euro,18083,3533,0.2052,0.7852,0.4787,0.1344,0.4223
regain_5s,FIFA World Cup,18661,2955,0.3591,0.8111,0.7755,0.1447,0.4563
danger_15s,FIFA World Cup,18661,2955,0.2244,0.7648,0.4672,0.1472,0.4538
regain_5s,Women's World Cup,17699,3917,0.3196,0.794,0.7398,0.1424,0.4522
danger_15s,Women's World Cup,17699,3917,0.2441,0.7866,0.5159,0.1495,0.4597
regain_5s,1. Bundesliga,19954,1662,0.3544,0.7873,0.7531,0.1525,0.4729
danger_15s,1. Bundesliga,19954,1662,0.225,0.7532,0.4643,0.1496,0.4619
