feature,coef,std_err,z_stat,p_val,odds_ratio,ci_lower_95,ci_upper_95,target,q_val_fdr
const,1.016,0.2156,4.713,0.0,2.7622,1.8103,4.2147,regain_5s,0.0
initiation_x,0.0178,0.0266,0.6684,0.5039,1.018,0.9662,1.0725,regain_5s,0.6365
distance_to_nearest_touchline,0.1055,0.0188,5.6244,0.0,1.1113,1.0712,1.1529,regain_5s,0.0
numerical_advantage_5,0.0215,0.022,0.9771,0.3285,1.0217,0.9786,1.0667,regain_5s,0.438
numerical_advantage_10,0.0681,0.0276,2.468,0.0136,1.0705,1.0141,1.1301,regain_5s,0.0218
numerical_advantage_15,0.1348,0.0271,4.9812,0.0,1.1443,1.0852,1.2067,regain_5s,0.0
nearest_teammate_distance,-0.2228,0.0473,-4.7079,0.0,0.8003,0.7294,0.8781,regain_5s,0.0
nearest_opponent_distance,0.1674,0.0538,3.1109,0.0019,1.1822,1.0639,1.3137,regain_5s,0.0035
teammate_mean_pairwise_distance,-0.0273,0.023,-1.1868,0.2353,0.9731,0.9301,1.018,regain_5s,0.3322
opponent_mean_pairwise_distance,0.125,0.0261,4.7809,0.0,1.1332,1.0765,1.1927,regain_5s,0.0
forward_numerical_advantage,-0.0734,0.024,-3.0546,0.0023,0.9292,0.8865,0.974,regain_5s,0.0039
nearest_defender_ahead_distance,0.0158,0.0311,0.5064,0.6126,1.0159,0.9558,1.0798,regain_5s,0.7351
nearest_opponent_ahead_distance,0.0042,0.026,0.1608,0.8723,1.0042,0.9543,1.0567,regain_5s,0.9516
escape_corridor_advantage_20,-0.0084,0.0191,-0.4394,0.6604,0.9917,0.9553,1.0294,regain_5s,0.7547
coverage_10,-0.0015,0.0421,-0.0356,0.9716,0.9985,0.9194,1.0844,regain_5s,0.9716
escape_corridor_coverage_20,-0.1121,0.0229,-4.9016,0.0,0.8939,0.8547,0.9349,regain_5s,0.0
actor_matching_anomalous,-0.5504,0.041,-13.4402,0.0,0.5767,0.5322,0.6249,regain_5s,0.0
initiation_event_type_Block,-2.3887,0.2371,-10.0728,0.0,0.0918,0.0576,0.146,regain_5s,0.0
initiation_event_type_Dribbled Past,0.0166,0.2642,0.0628,0.9499,1.0167,0.6058,1.7065,regain_5s,0.9716
initiation_event_type_Duel,0.9568,0.218,4.3882,0.0,2.6034,1.698,3.9916,regain_5s,0.0
initiation_event_type_Foul Committed,-7.2072,1.0071,-7.1566,0.0,0.0007,0.0001,0.0053,regain_5s,0.0
initiation_event_type_Interception,0.4744,0.233,2.0357,0.0418,1.607,1.0178,2.5372,regain_5s,0.0627
initiation_event_type_Pass,-4.6667,0.3048,-15.313,0.0,0.0094,0.0052,0.0171,regain_5s,0.0
initiation_event_type_Pressure,-2.4527,0.2186,-11.2196,0.0,0.0861,0.0561,0.1321,regain_5s,0.0
const,-3.1975,0.3486,-9.1729,0.0,0.0409,0.0206,0.0809,danger_15s,0.0
initiation_x,-0.9715,0.0269,-36.0673,0.0,0.3785,0.3591,0.399,danger_15s,0.0
distance_to_nearest_touchline,0.1981,0.0192,10.3206,0.0,1.219,1.174,1.2658,danger_15s,0.0
numerical_advantage_5,0.0153,0.0226,0.6737,0.5005,1.0154,0.9713,1.0614,danger_15s,0.572
numerical_advantage_10,-0.0378,0.0258,-1.4673,0.1423,0.9629,0.9155,1.0128,danger_15s,0.1945
numerical_advantage_15,0.0641,0.0258,2.4819,0.0131,1.0662,1.0136,1.1216,danger_15s,0.0242
nearest_teammate_distance,0.0195,0.0446,0.4365,0.6625,1.0197,0.9343,1.1128,danger_15s,0.6913
nearest_opponent_distance,0.0789,0.0529,1.4899,0.1362,1.0821,0.9754,1.2004,danger_15s,0.1945
teammate_mean_pairwise_distance,0.0831,0.0223,3.7274,0.0002,1.0866,1.0402,1.1352,danger_15s,0.0006
opponent_mean_pairwise_distance,-0.0163,0.027,-0.6055,0.5449,0.9838,0.9331,1.0372,danger_15s,0.5944
forward_numerical_advantage,0.0617,0.0241,2.5653,0.0103,1.0637,1.0147,1.115,danger_15s,0.0206
nearest_defender_ahead_distance,0.0013,0.03,0.0424,0.9662,1.0013,0.9441,1.0619,danger_15s,0.9662
nearest_opponent_ahead_distance,-0.1088,0.0296,-3.6791,0.0002,0.8969,0.8464,0.9504,danger_15s,0.0006
escape_corridor_advantage_20,0.0298,0.0206,1.4483,0.1475,1.0302,0.9895,1.0726,danger_15s,0.1945
coverage_10,0.0541,0.0376,1.4403,0.1498,1.0556,0.9807,1.1362,danger_15s,0.1945
escape_corridor_coverage_20,-0.0601,0.0227,-2.652,0.008,0.9417,0.9008,0.9844,danger_15s,0.0175
actor_matching_anomalous,0.4476,0.0371,12.0656,0.0,1.5646,1.4549,1.6826,danger_15s,0.0
initiation_event_type_Block,1.0884,0.3831,2.8413,0.0045,2.9695,1.4016,6.2913,danger_15s,0.0108
initiation_event_type_Dribbled Past,0.5338,0.3744,1.4256,0.154,1.7053,0.8187,3.5524,danger_15s,0.1945
initiation_event_type_Duel,-0.2766,0.3467,-0.798,0.4249,0.7583,0.3844,1.496,danger_15s,0.5099
initiation_event_type_Foul Committed,1.3242,0.3656,3.6221,0.0003,3.7593,1.8362,7.6969,danger_15s,0.0008
initiation_event_type_Interception,-0.8368,0.3713,-2.2538,0.0242,0.4331,0.2092,0.8966,danger_15s,0.0415
initiation_event_type_Pass,1.4817,0.3597,4.1188,0.0,4.4005,2.1741,8.9069,danger_15s,0.0
initiation_event_type_Pressure,2.369,0.349,6.7878,0.0,10.6868,5.3922,21.18,danger_15s,0.0
