target,model,roc_auc_mean,roc_auc_std,roc_auc_ci_95,pr_auc_mean,pr_auc_std,pr_auc_ci_95,brier_score_mean,brier_score_std,brier_ci_95,log_loss_mean,log_loss_std,log_loss_ci_95,calib_slope,calib_intercept
regain_5s,Model 0 (Null),0.5,0.0,"[0.5000, 0.5000]*",0.3465,0.0052,"[0.3360, 0.3514]",0.2265,0.0016,"[0.2247, 0.2285]",0.6453,0.0033,"[0.6417, 0.6496]",,
regain_5s,Model 1 (Context),0.7926,0.0021,"[0.7862, 0.7979]",0.7393,0.0088,"[0.7285, 0.7485]",0.1449,0.0028,"[0.1416, 0.1481]",0.4597,0.0067,"[0.4519, 0.4679]",1.0044,0.0044
regain_5s,Model 2 (Context+Local),0.8089,0.0011,"[0.8030, 0.8149]",0.7637,0.0064,"[0.7531, 0.7736]",0.1411,0.0025,"[0.1382, 0.1445]",0.4493,0.0064,"[0.4421, 0.4569]",1.0001,0.0013
regain_5s,Model 3 (Full Spatial Logistic),0.8156,0.002,"[0.8094, 0.8220]",0.777,0.0065,"[0.7683, 0.7868]",0.1386,0.0019,"[0.1357, 0.1419]",0.441,0.0052,"[0.4343, 0.4492]",0.9971,-0.0021
regain_5s,Model 4 (Additive Spline GAM),0.8157,0.0005,"[0.8096, 0.8218]",0.7786,0.0063,"[0.7697, 0.7877]",0.1387,0.002,"[0.1359, 0.1422]",0.4415,0.0062,"[0.4346, 0.4498]",0.9853,-0.0113
regain_5s,Model 5 (Gradient Boosting),0.8147,0.0034,"[0.8078, 0.8206]",0.782,0.0052,"[0.7742, 0.7907]",0.1374,0.0025,"[0.1345, 0.1408]",0.4356,0.0064,"[0.4289, 0.4441]",1.0081,-0.0005
danger_15s,Model 0 (Null),0.5,0.0,"[0.5000, 0.5000]*",0.224,0.0049,"[0.2130, 0.2292]",0.1738,0.0027,"[0.1706, 0.1768]",0.532,0.0061,"[0.5248, 0.5386]",,
danger_15s,Model 1 (Context),0.7687,0.0114,"[0.7611, 0.7756]",0.4719,0.0199,"[0.4538, 0.4905]",0.1452,0.0032,"[0.1426, 0.1480]",0.4508,0.0099,"[0.4436, 0.4576]",0.9967,-0.0065
danger_15s,Model 2 (Context+Local),0.774,0.0107,"[0.7668, 0.7807]",0.4763,0.0215,"[0.4576, 0.4925]",0.1446,0.0031,"[0.1421, 0.1473]",0.4476,0.0096,"[0.4412, 0.4547]",0.9885,-0.0143
danger_15s,Model 3 (Full Spatial Logistic),0.7812,0.0083,"[0.7741, 0.7884]",0.4954,0.0166,"[0.4764, 0.5106]",0.1425,0.0029,"[0.1397, 0.1452]",0.4419,0.009,"[0.4345, 0.4486]",0.9804,-0.0216
danger_15s,Model 4 (Additive Spline GAM),0.786,0.0077,"[0.7795, 0.7938]",0.5245,0.0122,"[0.5055, 0.5388]",0.1398,0.0027,"[0.1371, 0.1422]",0.4371,0.0099,"[0.4297, 0.4438]",0.9589,-0.0422
danger_15s,Model 5 (Gradient Boosting),0.7904,0.0098,"[0.7839, 0.7975]",0.5344,0.0155,"[0.5154, 0.5483]",0.1385,0.003,"[0.1358, 0.1411]",0.4322,0.0087,"[0.4250, 0.4385]",1.0454,0.0469
