target,comparison,metric,delta_point_estimate,ci_95,excludes_zero,interpretation
regain_5s,Model 3 vs Model 4 (GAM),delta_roc_auc,0.0001,"[-0.0014, +0.0018]",False,statistically indistinguishable (overlaps zero)
regain_5s,Model 3 vs Model 4 (GAM),delta_pr_auc,0.0014,"[-0.0006, +0.0036]",False,statistically indistinguishable (overlaps zero)
regain_5s,Model 3 vs Model 4 (GAM),delta_brier,0.0001,"[-0.0002, +0.0004]",False,statistically indistinguishable (overlaps zero)
regain_5s,Model 3 vs Model 4 (GAM),delta_log_loss,0.0005,"[-0.0004, +0.0014]",False,statistically indistinguishable (overlaps zero)
regain_5s,Model 3 vs Model 5 (HGB),delta_roc_auc,-0.0011,"[-0.0042, +0.0022]",False,statistically indistinguishable (overlaps zero)
regain_5s,Model 3 vs Model 5 (HGB),delta_pr_auc,0.0054,"[+0.0013, +0.0094]",True,statistically distinguishable
regain_5s,Model 3 vs Model 5 (HGB),delta_brier,-0.0012,"[-0.0020, -0.0005]",True,statistically distinguishable
regain_5s,Model 3 vs Model 5 (HGB),delta_log_loss,-0.0054,"[-0.0076, -0.0033]",True,statistically distinguishable
danger_15s,Model 3 vs Model 4 (GAM),delta_roc_auc,0.0047,"[+0.0026, +0.0067]",True,statistically distinguishable
danger_15s,Model 3 vs Model 4 (GAM),delta_pr_auc,0.0296,"[+0.0220, +0.0365]",True,statistically distinguishable
danger_15s,Model 3 vs Model 4 (GAM),delta_brier,-0.0027,"[-0.0033, -0.0020]",True,statistically distinguishable
danger_15s,Model 3 vs Model 4 (GAM),delta_log_loss,-0.0048,"[-0.0068, -0.0023]",True,statistically distinguishable
danger_15s,Model 3 vs Model 5 (HGB),delta_roc_auc,0.0091,"[+0.0059, +0.0125]",True,statistically distinguishable
danger_15s,Model 3 vs Model 5 (HGB),delta_pr_auc,0.0394,"[+0.0299, +0.0490]",True,statistically distinguishable
danger_15s,Model 3 vs Model 5 (HGB),delta_brier,-0.004,"[-0.0050, -0.0032]",True,statistically distinguishable
danger_15s,Model 3 vs Model 5 (HGB),delta_log_loss,-0.0097,"[-0.0124, -0.0072]",True,statistically distinguishable
