feature,target,mean_importance,std_importance,positive_importance_folds
initiation_x,danger_15s,0.16819,0.00967,5/5
initiation_event_type,danger_15s,0.15789,0.00681,5/5
actor_matching_anomalous,danger_15s,0.01236,0.00277,5/5
distance_to_nearest_touchline,danger_15s,0.00519,0.00121,5/5
nearest_opponent_ahead_distance,danger_15s,0.00321,0.00086,5/5
nearest_opponent_distance,danger_15s,0.00278,0.00233,5/5
period,danger_15s,0.00185,0.00044,5/5
defenders_ahead_of_ball,danger_15s,0.0015,0.00041,5/5
second_nearest_opponent_distance,danger_15s,0.00139,0.00056,5/5
nearest_teammate_distance,danger_15s,0.00118,0.00105,4/5
teammate_x_std,danger_15s,0.00093,0.00048,5/5
opponent_y_std,danger_15s,0.00087,0.00079,4/5
opponent_mean_pairwise_distance,danger_15s,0.00081,0.00013,5/5
competition,danger_15s,0.00078,0.0004,5/5
visible_area_pitch_fraction,danger_15s,0.00072,0.00037,5/5
initiation_y,danger_15s,0.00047,0.00036,5/5
opponent_hull_area,danger_15s,0.00047,0.0005,4/5
forward_numerical_advantage,danger_15s,0.00044,0.00043,5/5
numerical_advantage_15,danger_15s,0.00043,0.00026,4/5
nearest_defender_ahead_distance,danger_15s,0.00043,0.00069,3/5
opponents_ahead_of_ball,danger_15s,0.00032,0.00027,4/5
frame_player_count,danger_15s,0.00031,0.00042,4/5
teammate_y_std,danger_15s,0.00027,0.00037,4/5
second_nearest_teammate_distance,danger_15s,0.00024,0.00042,3/5
escape_corridor_coverage_20,danger_15s,0.00022,0.00054,3/5
teammate_hull_area,danger_15s,0.00019,0.00062,4/5
numerical_advantage_10,danger_15s,0.00012,0.00032,3/5
teammate_mean_pairwise_distance,danger_15s,0.00012,0.00052,3/5
coverage_10,danger_15s,7e-05,0.00014,3/5
visible_teammates_within_5,danger_15s,4e-05,6e-05,3/5
visible_opponents_within_10,danger_15s,3e-05,9e-05,4/5
opponents_in_escape_corridor_20,danger_15s,2e-05,6e-05,3/5
escape_corridor_advantage_20,danger_15s,2e-05,5e-05,4/5
coverage_5,danger_15s,2e-05,3e-05,1/5
lateral_centrality,danger_15s,0.0,0.0,0/5
visible_opponents_within_5,danger_15s,0.0,5e-05,2/5
pitch_zone_3x3,danger_15s,0.0,0.00015,2/5
visible_teammates_within_10,danger_15s,-1e-05,8e-05,3/5
opponent_x_std,danger_15s,-3e-05,0.00064,2/5
numerical_advantage_5,danger_15s,-0.0001,0.0001,2/5
defenders_in_escape_corridor_20,danger_15s,-0.00014,0.0003,1/5
coverage_15,danger_15s,-0.00023,0.00013,0/5
initiation_event_type,regain_5s,0.23897,0.00599,5/5
second_nearest_teammate_distance,regain_5s,0.00455,0.00203,5/5
initiation_x,regain_5s,0.00356,0.00187,5/5
escape_corridor_coverage_20,regain_5s,0.00313,0.00096,5/5
second_nearest_opponent_distance,regain_5s,0.00214,0.00045,5/5
opponents_ahead_of_ball,regain_5s,0.00183,0.00058,5/5
distance_to_nearest_touchline,regain_5s,0.00176,0.00097,5/5
numerical_advantage_15,regain_5s,0.00146,0.00141,5/5
opponent_y_std,regain_5s,0.00133,0.00145,4/5
numerical_advantage_10,regain_5s,0.00129,0.00074,5/5
nearest_defender_ahead_distance,regain_5s,0.00082,0.00022,5/5
defenders_ahead_of_ball,regain_5s,0.00075,0.00049,5/5
opponent_mean_pairwise_distance,regain_5s,0.00069,0.00087,3/5
teammate_y_std,regain_5s,0.00064,0.00064,4/5
visible_opponents_within_10,regain_5s,0.00063,0.00051,4/5
nearest_teammate_distance,regain_5s,0.00058,0.00084,3/5
nearest_opponent_ahead_distance,regain_5s,0.00056,0.00109,4/5
frame_player_count,regain_5s,0.00043,0.00064,3/5
opponent_x_std,regain_5s,0.00035,0.001,3/5
teammate_hull_area,regain_5s,0.00034,0.00085,3/5
competition,regain_5s,0.00034,0.00029,4/5
actor_matching_anomalous,regain_5s,0.0003,0.00054,4/5
nearest_opponent_distance,regain_5s,0.00026,0.00055,3/5
coverage_10,regain_5s,0.00025,0.00044,3/5
opponent_hull_area,regain_5s,0.00022,0.00099,2/5
escape_corridor_advantage_20,regain_5s,0.00016,0.00016,5/5
visible_opponents_within_5,regain_5s,0.00014,0.00016,3/5
period,regain_5s,0.00013,0.00023,3/5
defenders_in_escape_corridor_20,regain_5s,9e-05,0.00015,4/5
opponents_in_escape_corridor_20,regain_5s,7e-05,0.00022,2/5
coverage_5,regain_5s,5e-05,6e-05,3/5
coverage_15,regain_5s,1e-05,0.00036,2/5
lateral_centrality,regain_5s,0.0,0.0,0/5
visible_teammates_within_5,regain_5s,-0.0,1e-05,1/5
numerical_advantage_5,regain_5s,-4e-05,0.0001,2/5
pitch_zone_3x3,regain_5s,-4e-05,0.0003,2/5
visible_teammates_within_10,regain_5s,-0.0001,0.00012,1/5
initiation_y,regain_5s,-0.00019,0.00053,3/5
forward_numerical_advantage,regain_5s,-0.00024,0.00025,1/5
teammate_mean_pairwise_distance,regain_5s,-0.00035,0.00019,0/5
visible_area_pitch_fraction,regain_5s,-0.00053,0.00056,1/5
teammate_x_std,regain_5s,-0.00083,0.00035,0/5
