cohort,total_episodes,v26_regain_5s_count,v26_regain_5s_pct,v27_regain_5s_count,v27_regain_5s_pct,n_0_0 (both_no),n_1_1 (both_yes),n_1_0 (v26_yes_v27_no),n_0_1 (v26_no_v27_yes),agreement_pct,cohens_kappa
Full Dataset,29186,12869,44.09,11024,37.77,16317,11024,1845,0,93.68,0.8698
Primary Cohort,21616,8485,39.25,7491,34.65,13131,7491,994,0,95.4,0.9015
1. Bundesliga,2293,1031,44.96,907,39.56,1262,907,124,0,94.59,0.8895
FIFA World Cup,3964,1773,44.73,1513,38.17,2191,1513,260,0,93.44,0.8655
La Liga,2341,1032,44.08,869,37.12,1309,869,163,0,93.04,0.8564
Ligue 1,4122,1997,48.45,1673,40.59,2125,1673,324,0,92.14,0.8419
Major League Soccer,402,182,45.27,161,40.05,220,161,21,0,94.78,0.8935
UEFA Euro,6305,2795,44.33,2328,36.92,3510,2328,467,0,92.59,0.8473
UEFA Women's Euro,4660,1991,42.73,1735,37.23,2669,1735,256,0,94.51,0.8859
Women's World Cup,5099,2068,40.56,1838,36.05,3031,1838,230,0,95.49,0.9048
