episode_id,match_id,competition_name,period,counterpressing_team,possession_team,initiation_seconds,delay_seconds,change_reason,controlled_acquisition_time,controlled_control_time,controlled_regain_time,controlled_regain_event_type,controlled_regain_evidence,regain_5s_controlled_v26,regain_5s_controlled,dangerous_escape_15s,episode_outcome_3class
3835339_p156_32146b93,3835339,UEFA Women's Euro,2,Switzerland Women's,Switzerland Women's,2165.03,1.472,control_exceeded_5s,0.609,5.546,5.546,Pass,duel_plus_pass,1,0,0,harmless_escape
3869486_p88_a469205a,3869486,FIFA World Cup,2,Portugal,Portugal,110.177,5.324,control_exceeded_5s,0.302,6.419,6.419,Pass,duel_plus_pass,1,0,0,harmless_escape
3788750_p20_dc90b369,3788750,UEFA Euro,1,Spain,Spain,826.5840000000001,3.411,control_exceeded_5s,4.719,6.753,6.753,Pass,ball_recovery_plus_pass,1,0,0,harmless_escape
3869684_p146_4d779389,3869684,FIFA World Cup,2,Croatia,Morocco,2023.305,4.258,control_exceeded_5s,4.992,6.389,6.389,Pass,duel_plus_pass,1,0,0,harmless_escape
3835340_p144_e00f60d8,3835340,UEFA Women's Euro,2,Portugal Women's,Portugal Women's,1384.165,3.648,control_exceeded_5s,1.712,13.586,13.586,Pass,ball_recovery_plus_pass,1,0,1,dangerous_escape
3893804_p110_ca3ba306,3893804,Women's World Cup,2,Switzerland Women's,Norway Women's,719.554,4.796,control_exceeded_5s,3.309,10.833,10.833,Pass,goalkeeper_plus_pass,1,0,1,dangerous_escape
3893797_p150_9777e691,3893797,Women's World Cup,2,Portugal Women's,Netherlands Women's,1192.796,2.481,control_exceeded_5s,1.664,6.071,6.071,Pass,interception_plus_pass,1,0,0,harmless_escape
3773571_p200_e2c835d2,3773571,La Liga,2,Barcelona,Real Valladolid,2559.647,3.526,control_exceeded_5s,2.962,10.754,10.754,Pass,goalkeeper_plus_pass,1,0,1,dangerous_escape
3795108_p94_e155ad0b,3795108,UEFA Euro,2,Spain,Switzerland,700.494,2.343,control_exceeded_5s,4.928,14.664,14.664,Pass,ball_recovery_plus_pass,1,0,1,dangerous_escape
3837876_p109_d4f66e78,3837876,Ligue 1,2,Paris Saint-Germain,Paris Saint-Germain,995.856,2.435,control_exceeded_5s,2.011,7.618,7.618,Pass,ball_recovery_plus_pass,1,0,0,harmless_escape
3857274_p72_6ea8c459,3857274,FIFA World Cup,1,Ecuador,Ecuador,2578.84,0.0,control_exceeded_5s,0.33,7.403,7.403,Pass,ball_recovery_plus_pass,1,0,1,dangerous_escape
3893823_p50_d4540460,3893823,Women's World Cup,1,Costa Rica Women's,Costa Rica Women's,1688.799,5.772,control_exceeded_5s,2.848,6.438,6.438,Pass,duel_plus_pass,1,0,1,dangerous_escape
3835334_p88_353dfed2,3835334,UEFA Women's Euro,1,Iceland Women's,Iceland Women's,2323.908,2.04,control_exceeded_5s,0.54,9.053,9.053,Pass,opponent_turnover_plus_pass,1,0,0,harmless_escape
3773457_p135_0f0b47dd,3773457,La Liga,2,Barcelona,Barcelona,1340.373,7.015,control_exceeded_5s,4.563,12.497,12.497,Pass,opponent_clearance_plus_pass,1,0,0,harmless_escape
3837717_p144_0feb11b2,3837717,Ligue 1,2,Lyon,Lyon,2336.675,4.104,control_exceeded_5s,0.365,6.338,6.338,Pass,opponent_turnover_plus_pass,1,0,0,harmless_escape
3802837_p162_dbd4cd0a,3802837,Ligue 1,2,Paris Saint-Germain,Paris Saint-Germain,2812.371,1.348,control_exceeded_5s,3.382,7.879,7.879,Pass,goalkeeper_plus_pass,1,0,1,dangerous_escape
3857269_p40_6f2053ad,3857269,FIFA World Cup,1,Switzerland,Switzerland,1215.23,5.777,control_exceeded_5s,4.161,9.815,9.815,Pass,ball_recovery_plus_pass,1,0,1,dangerous_escape
3788763_p149_18fb42b5,3788763,UEFA Euro,2,France,France,2411.043,4.887,control_exceeded_5s,4.797,13.597,13.597,Pass,opponent_turnover_plus_pass,1,0,0,harmless_escape
3837706_p175_b966128f,3837706,Ligue 1,2,Paris Saint-Germain,Paris Saint-Germain,2179.057,0.0,control_exceeded_5s,3.78,7.237,7.237,Pass,ball_recovery_plus_pass,1,0,0,harmless_escape
3794692_p153_fcdf4c35,3794692,UEFA Euro,4,Sweden,Sweden,165.284,7.313,control_exceeded_5s,4.982,6.501,6.501,Pass,opponent_turnover_plus_pass,1,0,1,dangerous_escape
3857254_p126_bb880656,3857254,FIFA World Cup,2,Tunisia,Denmark,1063.887,1.411,control_exceeded_5s,3.599,5.684,5.684,Pass,duel_plus_pass,1,0,1,dangerous_escape
3857277_p48_df7dca7b,3857277,FIFA World Cup,1,Croatia,Croatia,1782.972,5.269,control_exceeded_5s,1.164,7.715,7.715,Pass,duel_plus_pass,1,0,1,dangerous_escape
3857288_p55_23464c11,3857288,FIFA World Cup,1,Tunisia,Australia,1704.282,1.519,control_exceeded_5s,3.896,11.798,11.798,Pass,duel_plus_pass,1,0,0,harmless_escape
