episode_id,match_id,competition_name,period,counterpressing_team,possession_team,initiation_seconds,sample_stratum,first_ctrl_type,pathway_classification,v26_evidence,is_same_team_bug,human_transition_occurred,human_control_established,human_regain_within_5s,human_notes
3794686_p43_39539e6f,3794686,UEFA Euro,1,Croatia,Croatia,1380.82,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3794686_p90_53eeeb3b,3794686,UEFA Euro,2,Croatia,Croatia,17.233,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3794686_p100_5de42a88,3794686,UEFA Euro,2,Spain,Spain,305.783,carry,Carry,contested_duel,carry_control,True,,,,
3794686_p114_e0634cba,3794686,UEFA Euro,2,Spain,Spain,845.439,carry,Carry,contested_duel,carry_control,True,,,,
3788764_p138_757110b4,3788764,UEFA Euro,2,Portugal,Portugal,2214.497,carry,Carry,contested_duel,carry_control,True,,,,
3788764_p89_ef63dacd,3788764,UEFA Euro,2,Germany,Germany,150.118,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3794686_p124_87a4502a,3794686,UEFA Euro,2,Croatia,Croatia,1206.947,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3794686_p137_418595ae,3794686,UEFA Euro,2,Spain,Spain,1627.246,carry,Carry,contested_duel,carry_control,True,,,,
3794686_p163_1bb72b50,3794686,UEFA Euro,2,Croatia,Croatia,2578.09,carry,Carry,contested_duel,carry_control,True,,,,
3788762_p153_6baa23d9,3788762,UEFA Euro,2,Poland,Poland,2701.897,carry,Carry,contested_duel,carry_control,True,,,,
3788762_p162_591673eb,3788762,UEFA Euro,2,Poland,Poland,2933.934,carry,Carry,contested_duel,carry_control,True,,,,
3788762_p64_c67f351f,3788762,UEFA Euro,1,Spain,Spain,2415.108,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3788762_p56_7b2c46ca,3788762,UEFA Euro,1,Poland,Poland,2064.454,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3788762_p24_9186bcb7,3788762,UEFA Euro,1,Spain,Spain,646.325,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3788762_p14_9bab7759,3788762,UEFA Euro,1,Poland,Poland,285.901,carry,Carry,contested_duel,carry_control,True,,,,
3794686_p215_349e1bc4,3794686,UEFA Euro,4,Spain,Spain,338.925,carry,Carry,contested_duel,carry_control,True,,,,
3794686_p202_6764851d,3794686,UEFA Euro,3,Croatia,Croatia,906.492,carry,Carry,contested_duel,carry_control,True,,,,
