episode_id,match_id,competition_name,possession_origin_pattern,restart_event_type,restart_event_timestamp,restart_location,turnover_event_type,turnover_event_timestamp,turnover_location,elapsed_time_restart_to_turnover,num_events_between,num_successful_passes,events_sequence_summary,initiation_event_type,initiation_timestamp,initiation_location,counterpressing_team,possession_team,turnover_context
3930158_p5_b5a30bf4,3930158,UEFA Euro,From Throw In,Pass,00:02:20.713,"[28.5, 80.0]",Ball Recovery,00:02:24.827,"[68.6, 3.8]",4.114,8,0,Pass -> Ball Receipt* -> Duel -> Pass -> Ball Receipt* -> Duel ... (+2 more),Pressure,00:02:26.615,"[42.4, 75.3]",Scotland,Scotland,immediate_restart_phase
3857273_p28_be69c3a9,3857273,FIFA World Cup,From Throw In,Pass,00:13:01.199,"[92.3, 80.0]",Pass,00:13:05.568,"[29.1, 3.8]",4.369,9,2,Pass -> Ball Receipt* -> Carry -> Pass -> Pressure -> Ball Receipt* ... (+3 more),Pressure,00:13:07.720,"[68.1, 65.4]",Wales,Wales,ambiguous
3837885_p123_afe6f3b7,3837885,Ligue 1,From Throw In,Pass,00:16:11.252,"[76.8, 0.1]",Interception,00:16:12.868,"[23.6, 58.3]",1.616,3,0,Pass -> Ball Receipt* -> Interception,Pressure,00:16:13.955,"[98.6, 20.9]",Paris Saint-Germain,Paris Saint-Germain,immediate_restart_phase
3835336_p89_4b366058,3835336,UEFA Women's Euro,From Throw In,Pass,00:47:01.500,"[110.9, 80.0]",Duel,00:47:02.674,"[8.6, 10.5]",1.174,6,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Dispossessed -> Duel,Pressure,00:47:04.254,"[115.2, 72.1]",Austria Women's,Austria Women's,immediate_restart_phase
3893819_p134_e0c52622,3893819,Women's World Cup,From Throw In,Pass,00:08:27.700,"[56.1, 0.1]",Pass,00:08:32.320,"[44.8, 62.2]",4.62,9,2,Pass -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* -> Carry ... (+3 more),Pressure,00:08:34.540,"[43.0, 33.5]",Morocco Women's,Morocco Women's,ambiguous
3857301_p81_67efb63c,3857301,FIFA World Cup,From Throw In,Pass,00:47:29.258,"[81.1, 80.0]",Ball Recovery,00:47:31.835,"[34.1, 3.2]",2.577,10,2,Pass -> Ball Receipt* -> Carry -> Pressure -> Pass -> Ball Receipt* ... (+4 more),Pressure,00:47:31.868,"[84.6, 72.4]",Senegal,Senegal,immediate_restart_phase
4020846_p184_72db7c2a,4020846,UEFA Women's Euro,From Throw In,Pass,00:08:41.916,"[105.4, 0.1]",Duel,00:08:43.638,"[13.7, 72.1]",1.722,6,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Dispossessed -> Duel,Pressure,00:08:44.583,"[105.4, 10.6]",Spain Women's,Spain Women's,immediate_restart_phase
3857265_p110_14c745b3,3857265,FIFA World Cup,From Throw In,Pass,00:16:52.115,"[61.7, 80.0]",Pass,00:17:07.925,"[13.8, 38.6]",15.81,6,1,Pass -> Ball Receipt* -> Pass -> Ball Recovery -> Carry -> Pass,Pressure,00:17:13.125,"[75.9, 59.1]",Poland,Poland,ambiguous
3998836_p38_8690d9ed,3998836,UEFA Women's Euro,From Throw In,Pass,00:14:58.031,"[50.3, 80.0]",Pass,00:15:02.680,"[67.2, 5.4]",4.649,9,2,Pass -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* -> Carry ... (+3 more),Pressure,00:15:03.393,"[49.1, 67.3]",WNT Finland,WNT Finland,ambiguous
3930177_p127_5f3eccac,3930177,UEFA Euro,From Throw In,Pass,00:38:18.034,"[52.6, 80.0]",Pass,00:38:20.103,"[37.9, 6.2]",2.069,4,0,Pass -> Ball Receipt* -> Duel -> Pass,Pressure,00:38:21.590,"[88.5, 58.7]",Scotland,Scotland,immediate_restart_phase
3998845_p162_86b32ebe,3998845,UEFA Women's Euro,From Throw In,Pass,00:48:46.490,"[91.9, 80.0]",Pass,00:48:47.798,"[15.2, 11.6]",1.308,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:48:50.673,"[81.1, 63.7]",WNT Finland,WNT Finland,immediate_restart_phase
3802837_p162_dbd4cd0a,3802837,Ligue 1,From Throw In,Pass,00:46:47.491,"[56.5, 80.0]",Ball Recovery,00:46:51.023,"[79.5, 17.0]",3.532,6,1,Pass -> Pressure -> Ball Receipt* -> Carry -> Pass -> Ball Recovery,Pressure,00:46:52.371,"[40.1, 62.4]",Paris Saint-Germain,Paris Saint-Germain,ambiguous
3802793_p172_0840501d,3802793,Ligue 1,From Throw In,Pass,00:42:29.321,"[102.5, 0.1]",Clearance,00:42:36.306,"[8.6, 48.9]",6.985,6,1,Pass -> Ball Receipt* -> Carry -> Pass -> Ball Receipt* -> Clearance,Pressure,00:42:43.825,"[106.2, 73.3]",Paris Saint-Germain,Paris Saint-Germain,ambiguous
3998837_p150_e00c5633,3998837,UEFA Women's Euro,From Throw In,Pass,00:40:21.162,"[26.0, 80.0]",Ball Recovery,00:40:23.934,"[68.3, 4.4]",2.772,2,0,Pass -> Ball Recovery,Duel,00:40:26.857,"[49.3, 69.0]",Norway Women's,Norway Women's,immediate_restart_phase
3893788_p93_cfbf07f6,3893788,Women's World Cup,From Throw In,Pass,00:02:35.607,"[66.4, 80.0]",Pass,00:02:37.089,"[40.1, 6.4]",1.482,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:02:41.471,"[79.8, 46.4]",Republic of Ireland Women's,Republic of Ireland Women's,immediate_restart_phase
3901735_p173_bdf74f77,3901735,Women's World Cup,From Throw In,Pass,00:44:23.452,"[45.8, 80.0]",Pass,00:44:24.824,"[44.7, 7.9]",1.372,3,0,Pass -> Ball Receipt* -> Pass,Pressure,00:44:26.076,"[69.2, 70.3]",Nigeria Women's,Nigeria Women's,immediate_restart_phase
3998848_p188_50051346,3998848,UEFA Women's Euro,From Throw In,Pass,00:41:59.289,"[29.1, 0.1]",Ball Recovery,00:42:02.251,"[69.9, 49.3]",2.962,6,1,Pass -> Ball Receipt* -> Carry -> Pressure -> Pass -> Ball Recovery,Pressure,00:42:05.569,"[62.9, 30.8]",Poland Women's,Poland Women's,immediate_restart_phase
