feature,count,missing_count,missing_pct,mean,std,min,p25,median,p75,max
episode_id,21616,0,0.0,,,,,,,
match_id,21616,0,0.0,3866024.6,63648.557,3764440.0,3802907.0,3857292.0,3895258.0,4020846.0
competition,21616,0,0.0,,,,,,,
season,21616,0,0.0,,,,,,,
counterpressing_team,21616,0,0.0,,,,,,,
opponent_team,21616,0,0.0,,,,,,,
initiation_event_id,21616,0,0.0,,,,,,,
initiation_x,21616,0,0.0,67.104,26.995,0.3,46.9,69.6,88.1,119.7
initiation_y,21616,0,0.0,40.406,22.451,0.1,20.7,40.6,60.0,80.0
actor_present,21616,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
actor_distance_from_event,21616,0,0.0,2.148,11.938,0.0,0.0,0.0,0.0,122.74
actor_matching_anomalous,21616,0,0.0,0.036,0.187,0.0,0.0,0.0,0.0,1.0
frame_player_count,21616,0,0.0,15.485,3.047,3.0,14.0,16.0,18.0,22.0
visible_teammate_count_including_actor,21616,0,0.0,7.536,1.894,1.0,6.0,8.0,9.0,11.0
visible_teammate_count_excluding_actor,21616,0,0.0,6.536,1.894,0.0,5.0,7.0,8.0,10.0
visible_opponent_count,21616,0,0.0,7.949,1.85,1.0,7.0,8.0,9.0,11.0
visible_goalkeeper_count,21616,0,0.0,0.347,0.476,0.0,0.0,0.0,1.0,1.0
visible_area_polygon_area,21616,0,0.0,2627.663,863.949,485.3,1959.99,2485.705,3205.355,6674.02
visible_area_pitch_fraction,21616,0,0.0,0.274,0.09,0.051,0.204,0.259,0.334,0.695
polygon_valid,21616,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
polygon_missing,21616,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coverage_5,21616,0,0.0,0.968,0.168,0.0,1.0,1.0,1.0,1.0
coverage_10,21616,0,0.0,0.956,0.17,0.0,1.0,1.0,1.0,1.0
coverage_15,21616,0,0.0,0.919,0.173,0.0,0.908,0.984,1.0,1.0
visible_local_area_5,21616,0,0.0,75.21,13.536,0.0,78.51,78.51,78.51,78.51
visible_local_area_10,21616,0,0.0,287.806,58.269,0.0,287.218,314.03,314.03,314.03
